Year,Sexe,Edat,GeoCode,Value
2016,,,,31.2
2015,,,,30.2
2018,,,,11.8
2017,,,,15.8
2016,,,,17.2
2015,,,,21.3
2018,,,,11.7
2017,,,,13.6
2016,,,,16.3
2015,,,,20.2
2018,,,,27.0
2017,,,,26.3
2016,,,,29.5
2015,,,,30.5
2018,,,,16.6
2017,,,,16.9
2016,,,,19.2
2015,,,,19.9
2018,,,,17.6
2017,,,,18.9
2016,,,,21.1
2015,,,,24.2
2018,,,,13.7
2017,,,,16.8
2016,,,,18.0
2015,,,,17.5
2018,,,,19.2
2017,,,,20.0
2016,,,,20.0
2015,,,,20.4
2018,,,,13.2
2017,,,,12.3
2016,,,,12.9
2015,,,,16.6
2018,,,,12.7
2017,,,,14.9
2016,,,,16.5
2015,,,,16.8
2018,,,,17.5
2017,,,,20.0
2016,,,,22.4
2015,,,,20.4
2018,,,,25.3
2017,,,,29.5
2016,,,,31.7
2015,,,,33.2
2018,,,,20.0
2017,,,,20.1
2016,,,,23.4
2015,,,,23.4
2018,,,,15.8
2017,,,,18.2
2016,,,,19.7
2015,,,,19.0
2018,,,,27.3
2017,,,,30.2
2016,,,,32.6
2015,,,,33.7
2018,,,,24.6
2017,,,,26.7
2016,,,,28.7
2015,,,,27.6
2018,,,,21.8
2017,,,,22.4
2016,,,,26.8
2015,,,,28.4
2018,,,,22.8
2017,,,,26.7
2016,,,,30.2
2015,,,,29.7
2018,,,,14.5
2017,,,,17.1
